arch,circuit,script_params,vpr_status,total_runtime,Total_used_logic_block_area,Total_routing_block_area,Min_chan_width,Critical_path_delay,Number_of_CLB_blocks,Number_of_DSP_blocks,Number_of_BRAM_blocks,Unnamed: 12,Total_logic_block_area,Total_used_area,geo_ave_area_arch,geo_ave_delay_arch,area_delay2_model_arch
stratix.xml_2.xml,LU8PEEng.v,common,exited with return code 1,1116.92,-1.0,-1.0,176,-1.0,1573,8,74,,108493220.0,108493219.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,diffeq2.v,common,success,37.09,3575540.0,5783890.0,110,13.6847,19,12,0,,4842920.0,10626810.0,16033106.763867266,0.0,0.0
stratix.xml_27.xml,sha.v,common,success,9.98,3153260.0,1246590.0,86,11.5011,113,0,0,,6673780.0,7920370.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,boundtop.v,common,success,4.93,1393390.0,952284.0,52,3.09113,45,0,1,,2834880.0,3787164.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,mkDelayWorker32B.v,common,success,132.03,22751900.0,11829000.0,50,7.30677,470,0,70,,40160800.0,51989800.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,mkSMAdapter4B.v,common,success,23.5,5648000.0,2670660.0,84,4.79582,158,0,9,,10926100.0,13596760.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,or1200.v,common,success,101.87,7342120.0,6924700.0,136,10.4841,207,4,4,,14174400.0,21099100.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,bgm.v,common,success,642.17,61641600.0,29382100.0,140,18.8701,2109,11,0,,127968255.0,157350355.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,stereovision1.v,common,success,414.53,24298700.0,30869400.0,122,7.06469,507,40,0,,42346020.0,73215420.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,mkPktMerge.v,common,success,21.57,4057470.0,2923740.0,48,3.96567,27,0,24,,5846940.0,8770680.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,blob_merge.v,common,success,77.62,12613100.0,5963760.0,112,13.6535,452,0,0,,26695120.0,32658880.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,stereovision2.v,common,success,1477.79,84378200.0,150970000.0,130,14.1139,1214,199,0,,133401775.0,284371775.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,diffeq1.v,common,success,29.2,3798780.0,4630020.0,82,18.9822,27,12,0,,5315400.0,9945420.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,stereovision3.v,common,success,1.02,362765.0,130547.0,40,2.50681,13,0,0,,767780.0,898327.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,ch_intrinsics.v,common,success,2.17,1923590.0,418666.0,46,2.10234,64,0,1,,3957020.0,4375686.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,stereovision0.v,common,success,96.82,16240700.0,6847680.0,100,4.58537,582,0,0,,34372920.0,41220600.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,spree.v,common,success,12.51,2391320.0,1428650.0,100,9.62128,47,1,6,,4148965.0,5577615.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,arm_core.v,common,success,264.37,24507900.0,17611100.0,184,20.2066,676,0,41,,47188940.0,64800040.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,LU8PEEng.v,common,success,1185.65,59180400.0,33237800.0,154,81.6407,1683,8,74,,114989820.0,148227620.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_27.xml,diffeq2.v,common,success,34.47,3742970.0,4726050.0,86,15.7069,25,12,0,,5197280.0,9923330.0,20354523.278892305,9.006857935431237,1651229963.0043716
stratix.xml_21.xml,sha.v,common,success,16.17,3125360.0,1655680.0,94,11.3209,112,0,0,,6614720.0,8270400.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,boundtop.v,common,success,4.78,1281770.0,1194410.0,52,3.09113,41,0,1,,2598640.0,3793050.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,mkDelayWorker32B.v,common,success,152.48,22640300.0,15007900.0,50,7.2974,466,0,70,,39924560.0,54932460.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,mkSMAdapter4B.v,common,success,26.38,5089900.0,3136510.0,80,4.75019,138,0,9,,9744900.0,12881410.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,or1200.v,common,success,85.31,6951450.0,8159120.0,132,10.6891,193,4,4,,13347560.0,21506680.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,bgm.v,common,success,990.9,57009500.0,32142900.0,132,20.412,1943,11,0,,118164295.0,150307195.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,stereovision1.v,common,success,483.75,23963900.0,37286200.0,120,6.13019,495,40,0,,41637300.0,78923500.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,mkPktMerge.v,common,success,28.18,4057470.0,3396210.0,44,3.44907,27,0,24,,5846940.0,9243150.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,blob_merge.v,common,success,78.63,11915400.0,6190570.0,104,13.7305,427,0,0,,25218620.0,31409190.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,stereovision2.v,common,success,1972.09,84182800.0,190094000.0,138,14.0138,1207,199,0,,132988355.0,323082355.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,diffeq1.v,common,success,46.55,3770880.0,6862740.0,108,18.8969,26,12,0,,5256340.0,12119080.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,stereovision3.v,common,success,1.48,362765.0,111363.0,26,2.20118,13,0,0,,767780.0,879143.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,ch_intrinsics.v,common,success,2.07,1923590.0,486386.0,40,1.78538,64,0,1,,3957020.0,4443406.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,stereovision0.v,common,success,100.16,16045400.0,7388570.0,94,3.95844,575,0,0,,33959500.0,41348070.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,spree.v,common,success,11.34,2363420.0,1655680.0,94,9.26073,46,1,6,,4089905.0,5745585.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,arm_core.v,common,success,257.54,23001100.0,19101400.0,160,20.9917,622,0,41,,43999700.0,63101100.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,LU8PEEng.v,common,success,1283.32,56110900.0,37458400.0,144,87.9654,1573,8,74,,108493220.0,145951620.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_21.xml,diffeq2.v,common,success,40.59,3575540.0,6453690.0,100,13.7824,19,12,0,,4842920.0,11296610.0,20982648.8979589,8.65715412473116,1572572267.1231148
stratix.xml_4.xml,sha.v,common,success,17.46,3125360.0,1414290.0,92,11.4323,112,0,0,,6614720.0,8029010.0,20408355.052844603,8.696521262356068,1543473322.4781444
stratix.xml_4.xml,boundtop.v,common,success,5.11,1281770.0,1063060.0,56,3.09113,41,0,1,,2598640.0,3661700.0,20408355.052844603,8.696521262356068,1543473322.4781444
